Home_team,Away_team,Home_win,Draw,Away_win
Barcelona,Real Madrid,2.1169204750384316,4.162385953544515,3.5962858914157407
Barcelona,Atlético Madrid,1.9295787540980958,4.133292755228928,4.319744128845923
Barcelona,Real Sociedad,1.9137974831541786,4.000531015209825,4.5251281996867245
Barcelona,Villarreal,1.7315478170158258,4.434175737678027,5.400593687287093
Barcelona,Betis,1.7450875083981825,4.479848451708416,5.237991507183515
Barcelona,Girona,1.6568313844754323,4.664148757759564,5.981897898371607
Barcelona,Athletic Club,1.956156625914729,4.134550199139591,4.192826015745742
Barcelona,Osasuna,1.608979256889346,4.376411052509839,7.10333383706438
Barcelona,Sevilla,1.5837010863194674,4.822773378152933,6.887524210760471
Barcelona,Rayo Vallecano,1.6421837259645014,4.552966776229116,6.29079240161155
Barcelona,Mallorca,1.6335976109391126,4.447654466321902,6.560638226829292
Barcelona,Celta Vigo,1.713442793969104,4.4598389026248775,5.550923709665237
Barcelona,Valencia,1.7067307055047645,4.483958494847293,5.595172800965401
Barcelona,Almería,1.556913168173402,5.075345236702765,7.131272393298576
Barcelona,Cádiz,1.558192828989084,4.8970850379423245,7.277537310611424
Barcelona,Valladolid,1.4593525416409985,5.477389943809248,9.199802844254615
Barcelona,Getafe,1.5998509698294447,4.3970103894306725,7.237565494948835
Barcelona,Espanyol,1.580502278320854,4.780432315933131,6.992456960574909
Barcelona,Elche,1.4230407383609422,5.682626700017443,10.365621276659345
Real Madrid,Barcelona,2.186453920234213,4.16450851020578,3.4125173254741035
Real Madrid,Atlético Madrid,1.9706029177418969,4.220278338324243,4.069690531522825
Real Madrid,Real Sociedad,1.9544931569332211,4.091235433646121,4.234736470368832
Real Madrid,Villarreal,1.770139434225085,4.5003409283173985,5.018147150064471
Real Madrid,Betis,1.783921646431011,4.545333051140347,4.885794082937848
Real Madrid,Girona,1.6942877605405966,4.71665587852991,5.529251998613962
Real Madrid,Athletic Club,1.9974951022831855,4.222691586293327,3.9598314261103114
Real Madrid,Osasuna,1.645842165395237,4.436185482688722,6.394717117368607
Real Madrid,Sevilla,1.6198790790685254,4.862587511780177,6.292898126842897
Real Madrid,Rayo Vallecano,1.679389714640947,4.60834753916778,5.769873121356397
Real Madrid,Mallorca,1.6707257894507648,4.50640645833486,5.974089411816429
Real Madrid,Celta Vigo,1.7517637624503668,4.523888568875331,5.14687921348361
Real Madrid,Valencia,1.7449542829959885,4.546690574363721,5.186533129948363
Real Madrid,Almería,1.5926014155314736,5.102486037480685,6.5264932438847945
Real Madrid,Cádiz,1.5938997250741302,4.9312324652750466,6.618613799897875
Real Madrid,Valladolid,1.4929995835182914,5.472948988344212,8.23712770452515
Real Madrid,Getafe,1.6365705891390956,4.455239473256379,6.503831554949701
Real Madrid,Espanyol,1.6166325333360296,4.821541319710218,6.371599747515499
Real Madrid,Elche,1.4558628888454546,5.661204157577478,9.175243837114019
Atlético Madrid,Barcelona,2.5221488569537605,3.9229309798046264,2.918487160173712
Atlético Madrid,Real Madrid,2.475679961181792,4.0107574960418235,2.9447667315433863
Atlético Madrid,Real Sociedad,2.2308767289448355,3.763001157343415,3.5492626299860994
Atlético Madrid,Villarreal,1.965329308966222,4.092143892054612,4.184530591546129
Atlético Madrid,Betis,1.9781184019213485,4.145882222361769,4.088373929825577
Atlético Madrid,Girona,1.8601612800481557,4.261159205696193,4.592728488629248
Atlético Madrid,Athletic Club,2.2711430251107307,3.9174117872286156,3.349384710173477
Atlético Madrid,Osasuna,1.822883271732498,3.9424213007517657,5.205952996229279
Atlético Madrid,Sevilla,1.7657194175691597,4.3492493660930265,5.180903773123963
Atlético Madrid,Rayo Vallecano,1.8503685715202918,4.141761871321477,4.761899078020818
Atlético Madrid,Mallorca,1.8472989930531776,4.032473170856754,4.902844581414533
Atlético Madrid,Celta Vigo,1.94162191188041,4.104888024868776,4.284351969318042
Atlético Madrid,Valencia,1.9317961642081112,4.123743614319505,4.3166344682250095
Atlético Madrid,Almería,1.7214835096103942,4.561393269180842,5.382298324446443
Atlético Madrid,Cádiz,1.7324991318730378,4.394482429319765,5.431133777813413
Atlético Madrid,Valladolid,1.5958978860245956,4.814815286945927,6.691901040355048
Atlético Madrid,Getafe,1.8107081439408466,3.9544277854300987,5.288689713425852
Atlético Madrid,Espanyol,1.764515912507567,4.305763797722368,5.234806168348608
Atlético Madrid,Elche,1.5493173021599271,4.945742700901213,7.401790521439442
Real Sociedad,Barcelona,2.815079796167282,3.7140310283567346,2.689943272613451
Real Sociedad,Real Madrid,2.7460082406748674,3.801701799087048,2.715817866089976
Real Sociedad,Atlético Madrid,2.461625552657029,3.6509237615025336,3.1588328033384023
Real Sociedad,Villarreal,2.119329251799009,3.7910897274211854,3.848163996091391
Real Sociedad,Betis,2.1305551619446073,3.8511329295606798,3.7610663054169082
Real Sociedad,Girona,1.9863750852854751,3.9374865164365342,4.225153054196178
Real Sociedad,Athletic Club,2.5018390742340224,3.6710857432747668,3.0820316466247895
Real Sociedad,Osasuna,1.9624369018992818,3.5892810850198766,4.7895127402567175
Real Sociedad,Sevilla,1.874055562436209,3.9953955210195797,4.767816626811063
Real Sociedad,Rayo Vallecano,1.9822680437917108,3.808943745433231,4.379293592257842
Real Sociedad,Mallorca,1.985357657827457,3.692766557054673,4.508489149308662
Real Sociedad,Celta Vigo,2.090672129875996,3.798013810966525,3.93985338906344
Real Sociedad,Valencia,2.0779230538446902,3.8150994861040077,3.96974978276789
Real Sociedad,Almería,1.8141221225749184,4.197134635911981,4.955570032755523
